States/UTs,Rice,Wheat,Atta,Gram Dal,Tur Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati,Soya Oil,Sunflower Oil,Palm Oil,Gur,Tea Loose,Salt,Potato,Onion,Tomato,Date,price_type
Minimum Price,19.0,16.0,21.0,53.0,70.0,70.0,72.5,64.5,33.0,30.0,140.0,124.1,93.0,110.0,126.1,85.0,31.0,120.0,6.38,8.0,10.0,12.0,2022-09-24,wholesale
Modal Price,32.0,23.0,30.0,61.0,100.0,90.0,90.0,80.0,38.0,50.0,180.0,160.0,140.0,130.0,180.0,110.0,42.0,280.0,20.0,16.0,20.0,40.0,2022-09-24,wholesale
Average Price,33.0169,26.578699999999998,30.099,63.329899999999995,101.1514,95.7925,90.8248,85.186,38.608200000000004,49.540200000000006,177.5954,160.5057,132.2189,140.5499,158.7052,112.40270000000001,42.8943,246.1745,18.0431,20.426099999999998,18.3164,31.8275,2022-09-25,wholesale
Maximum Price,54.0,38.0,55.0,85.0,125.0,123.0,115.0,117.0,45.0,74.0,240.0,210.0,185.0,189.0,215.0,175.0,90.0,500.0,26.5,34.0,35.0,57.5,2022-09-25,wholesale
Minimum Price,19.0,16.0,21.5,53.0,70.0,70.0,72.5,64.5,33.0,30.0,140.0,134.0,93.0,110.0,130.0,85.7,31.0,120.0,6.38,8.0,8.7,12.0,2022-09-25,wholesale
Modal Price,32.0,25.0,30.0,61.0,100.0,95.0,90.0,80.0,38.0,50.0,180.0,150.0,125.0,130.0,180.0,100.0,41.0,280.0,20.0,16.0,16.0,40.0,2022-09-25,wholesale
Average Price,33.4175,27.191100000000002,30.9152,64.9503,102.0223,97.12530000000001,92.57379999999999,86.0821,39.2246,51.169399999999996,177.3925,161.1007,137.6064,140.6818,160.34290000000001,114.1163,44.4409,249.4543,17.4619,21.656,19.81,34.1824,2022-09-26,wholesale
Maximum Price,56.0,40.0,62.0,105.0,122.0,130.0,115.0,117.0,47.0,74.0,240.0,211.0,200.0,190.0,215.0,175.0,90.0,519.34,27.0,45.0,45.0,80.0,2022-09-26,wholesale
Minimum Price,18.0,16.0,15.5,53.0,70.0,70.0,72.5,64.5,33.0,30.0,140.0,130.5,92.0,110.0,126.1,85.7,31.0,120.0,6.38,8.0,8.7,12.0,2022-09-26,wholesale
Modal Price,28.0,23.0,30.0,62.0,100.0,90.0,90.0,85.0,38.0,50.0,180.0,155.0,150.0,140.0,160.0,100.0,42.0,280.0,10.0,18.0,16.0,40.0,2022-09-26,wholesale
